date,commodity,index_value
2012-12-01,meat,107.2
2013-01-01,meat,106.6
2013-02-01,meat,107.8
2013-03-01,meat,108.2
2013-04-01,meat,108.8
2013-05-01,meat,105.7
2013-06-01,meat,105.0
2013-07-01,meat,104.7
2013-08-01,meat,105.5
2013-09-01,meat,106.0
2013-10-01,meat,106.3
2013-11-01,meat,105.4
2013-12-01,meat,104.7
2014-01-01,meat,103.2
2014-02-01,meat,104.1
2014-03-01,meat,106.3
2014-04-01,meat,109.7
2014-05-01,meat,111.7
2014-06-01,meat,116.0
2014-07-01,meat,117.4
2014-08-01,meat,118.5
2014-09-01,meat,117.5
2014-10-01,meat,117.1
2014-11-01,meat,114.8
2014-12-01,meat,108.9
2015-01-01,meat,104.6
2015-02-01,meat,101.3
2015-03-01,meat,97.1
2015-04-01,meat,97.4
2015-05-01,meat,99.6
2015-06-01,meat,98.7
2015-07-01,meat,99.0
2015-08-01,meat,99.0
2015-09-01,meat,96.7
2015-10-01,meat,92.1
2015-11-01,meat,89.2
2015-12-01,meat,86.8
2016-01-01,meat,84.4
2016-02-01,meat,86.0
2016-03-01,meat,86.1
2016-04-01,meat,87.7
2016-05-01,meat,90.2
2016-06-01,meat,94.1
2016-07-01,meat,95.3
2016-08-01,meat,96.4
2016-09-01,meat,94.9
2016-10-01,meat,93.0
2016-11-01,meat,93.9
2016-12-01,meat,91.2
2017-01-01,meat,92.2
2017-02-01,meat,94.0
2017-03-01,meat,95.4
2017-04-01,meat,97.3
2017-05-01,meat,99.3
2017-06-01,meat,100.1
2017-07-01,meat,100.6
2017-08-01,meat,100.0
2017-09-01,meat,98.6
2017-10-01,meat,98.2
2017-11-01,meat,98.0
2017-12-01,meat,96.0
2018-01-01,meat,95.3
2018-02-01,meat,96.6
2018-03-01,meat,96.6
2018-04-01,meat,95.4
2018-05-01,meat,94.9
2018-06-01,meat,94.7
2018-07-01,meat,94.3
2018-08-01,meat,95.4
2018-09-01,meat,93.4
2018-10-01,meat,91.9
2018-11-01,meat,92.1
2018-12-01,meat,92.3
2019-01-01,meat,91.6
2019-02-01,meat,92.5
2019-03-01,meat,94.0
2019-04-01,meat,97.3
2019-05-01,meat,100.2
2019-06-01,meat,101.2
2019-07-01,meat,102.3
2019-08-01,meat,101.6
2019-09-01,meat,100.6
2019-10-01,meat,100.9
2019-11-01,meat,105.4
2019-12-01,meat,106.0
2020-01-01,meat,103.5
2020-02-01,meat,101.0
2020-03-01,meat,99.5
2020-04-01,meat,96.5
2020-05-01,meat,95.4
2020-06-01,meat,94.5
2020-07-01,meat,91.4
2020-08-01,meat,91.4
2020-09-01,meat,91.2
2020-10-01,meat,91.6
2020-11-01,meat,93.1
2020-12-01,meat,94.7
2021-01-01,meat,95.9
2021-02-01,meat,97.7
2021-03-01,meat,100.5
2021-04-01,meat,104.4
2021-05-01,meat,108.1
2021-06-01,meat,110.9
2021-07-01,meat,113.3
2021-08-01,meat,113.1
2021-09-01,meat,112.1
2021-10-01,meat,111.6
2021-11-01,meat,112.4
2021-12-01,meat,110.5
2022-01-01,meat,111.7
2022-02-01,meat,113.7
2022-03-01,meat,119.3
2022-04-01,meat,121.3
2022-05-01,meat,122.5
2022-06-01,meat,125.4
2022-07-01,meat,123.3
2022-08-01,meat,120.3
2022-09-01,meat,119.9
2022-10-01,meat,116.5
2022-11-01,meat,114.1
2022-12-01,meat,111.9
2023-01-01,meat,110.5
2023-02-01,meat,112.1
2023-03-01,meat,114.1
2023-04-01,meat,116.0
2023-05-01,meat,117.4
2023-06-01,meat,118.6
2023-07-01,meat,117.9
2023-08-01,meat,114.5
2023-09-01,meat,113.4
2023-10-01,meat,112.0
2023-11-01,meat,111.6
2023-12-01,meat,111.2
2024-01-01,meat,108.9
2024-02-01,meat,112.5
2024-03-01,meat,114.9
2024-04-01,meat,116.6
2024-05-01,meat,116.7
2024-06-01,meat,118.1
2024-07-01,meat,120.0
2024-08-01,meat,122.0
2024-09-01,meat,119.9
2024-10-01,meat,119.2
2024-11-01,meat,118.7
2024-12-01,meat,119.6
2025-01-01,meat,116.7
2025-02-01,meat,116.9
2025-03-01,meat,118.3
2025-04-01,meat,121.6
2025-05-01,meat,122.8
2025-06-01,meat,126.0
2025-07-01,meat,126.7
2025-08-01,meat,127.8
2025-09-01,meat,128.1
2025-10-01,meat,125.5
2025-11-01,meat,124.6
1990-01-01,dairy,53.5
1990-02-01,dairy,52.2
1990-03-01,dairy,41.4
1990-04-01,dairy,48.4
1990-05-01,dairy,39.2
1990-06-01,dairy,39.2
1990-07-01,dairy,39.2
1990-08-01,dairy,36.8
1990-09-01,dairy,38.1
1990-10-01,dairy,38.9
1990-11-01,dairy,39.4
1990-12-01,dairy,45.1
1991-01-01,dairy,46.9
1991-02-01,dairy,46.7
1991-03-01,dairy,45.8
1991-04-01,dairy,42.8
1991-05-01,dairy,42.1
1991-06-01,dairy,43.4
1991-07-01,dairy,40.4
1991-08-01,dairy,41.7
1991-09-01,dairy,45.4
1991-10-01,dairy,48.8
1991-11-01,dairy,50.8
1991-12-01,dairy,50.8
1992-01-01,dairy,52.9
1992-02-01,dairy,52.9
1992-03-01,dairy,52.4
1992-04-01,dairy,52.4
1992-05-01,dairy,54.6
1992-06-01,dairy,57.7
1992-07-01,dairy,58.1
1992-08-01,dairy,56.6
1992-09-01,dairy,58.1
1992-10-01,dairy,54.9
1992-11-01,dairy,53.8
1992-12-01,dairy,53.2
1993-01-01,dairy,53.3
1993-02-01,dairy,54.0
1993-03-01,dairy,53.3
